Designator,Mid X,Mid Y,Rotation,Layer
C1,66.8,-59.1,270.0,top
C10,116.625,-68.6,0.0,top
C11,116.625,-67.0,0.0,top
C12,117.4,-73.8,90.0,top
C13,94.635,-73.18,180.0,top
C14,103.0,-67.9125,0.0,top
C15,87.065,-90.595,270.0,top
C16,92.265,-80.9,180.0,top
C17,97.865,-90.595,270.0,top
C18,117.25,-90.6,270.0,top
C19,122.45,-80.905,180.0,top
C2,68.7,-59.0,270.0,top
C20,128.05,-90.6,270.0,top
C3,64.6,-67.7,270.0,top
C4,120.5,-71.2,0.0,top
C5,119.725,-67.0,0.0,top
C6,119.7125,-63.765,0.0,top
C7,110.37,-64.295,180.0,top
C8,110.37,-62.67,180.0,top
C9,110.37,-61.095,180.0,top
D1,81.4,-80.5,0.0,top
J1,68.79,-102.72,180.0,top
J2,96.58,-52.575,180.0,top
J3,83.749,-102.2,180.0,top
J4,99.749,-102.2,180.0,top
J5,115.749,-102.2,180.0,top
J6,117.6,-53.2,90.0,top
J7,131.749,-102.2,180.0,top
J8,136.9,-72.75,90.0,top
L1,113.0,-72.8,270.0,top
Q1,71.88,-95.9,270.0,top
Q2,67.255,-95.9,270.0,top
Q3,135.78,-62.735,0.0,top
Q4,98.525,-73.15,270.0,top
R1,71.9,-92.9,180.0,top
R10,119.725,-68.6,180.0,top
R11,103.0,-71.0125,180.0,top
R12,103.0,-69.4625,180.0,top
R13,94.4075,-71.0125,180.0,top
R14,97.5,-60.5,270.0,top
R15,95.9,-60.5,270.0,top
R16,94.4075,-69.4625,180.0,top
R17,94.4075,-67.9125,180.0,top
R18,88.765,-90.595,90.0,top
R19,85.265,-90.595,270.0,top
R2,67.3,-92.9,0.0,top
R20,81.465,-90.595,90.0,top
R21,83.465,-90.595,270.0,top
R22,96.165,-90.595,90.0,top
R23,103.265,-90.595,270.0,top
R24,99.565,-90.595,90.0,top
R25,101.465,-90.595,270.0,top
R26,118.95,-90.6,90.0,top
R27,115.45,-90.6,270.0,top
R28,111.65,-90.6,90.0,top
R29,113.65,-90.6,270.0,top
R3,118.89,-58.0,90.0,top
R30,126.35,-90.6,90.0,top
R31,133.45,-90.6,270.0,top
R32,129.75,-90.6,90.0,top
R33,131.65,-90.6,270.0,top
R4,121.4,-58.0,90.0,top
R5,132.78,-62.735,90.0,top
R6,64.6,-64.5,270.0,top
R7,81.3875,-78.8,0.0,top
R8,115.47,-59.87,0.0,top
R9,119.725,-65.4,0.0,top
SW1,67.4,-66.1,270.0,top
SW2,67.4,-74.4,90.0,top
T1,92.24,-90.55,180.0,top
T2,122.425,-90.555,180.0,top
U1,79.85,-64.66,0.0,top
U2,117.4,-70.7,0.0,top
U3,115.1325,-62.62,0.0,top
U4,98.5675,-68.9475,90.0,top
U5,92.265,-84.695,270.0,top
U6,122.45,-84.7,270.0,top
